"id","site","timestamp","year","place","dataset","exists","digital","public","online","free","machinereadable","bulk","openlicence","uptodate","url","format","licenseurl","dateavailable","officialtitle","publisher","reviewed","reviewResult","reviewComments","details","isCurrent","isOpen","submitter","reviewer","score"
"93ccccfa-04e0-497c-b2a8-ef11187b5644","ar-city","2016-02-18T20:48:54","2016","cordoba-city","salaries","Yes","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure",,"Unsure",,,,,,"Economy and Finances Secretary","Yes","Yes","Data is inaccurate",,"Yes","No","Agustina De Luca","Paula Alzualde","5"
"c8c23438-5c6e-4d1d-af9c-0c4229833111","ar-city","2016-03-22T02:31:09","2016","rivadavia","tenders","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"No","http://munirivadavia.gob.ar/gabierto/data_economica.html","PDF, csv",,,"Calls for public and private tenders.","Rivadavia Open Government portal","Yes","Yes","Submission is correct!","The open government site in the category ""economic activity"" citizens can find information about public tenders and the tenders private since 2014 and2015","Yes","No","Agustina De Luca","Paula Alzualde","60"
"92f775fa-5a24-45c5-bfed-ee60fa3fc7a5","ar-city","2016-03-22T02:01:40","2016","rivadavia","environment","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct","""The site does not have the information of Medio Ambiente and 
some of the biggest topics: public spaces, green centers, public spaces, sound pollution, air quality, weather, etc.""","Yes","No","Agustina De Luca","Paula Alzualde","0"
"950fcdef-dcbd-4ce4-8580-b56ce0ed4e33","ar-city","2016-03-14T15:49:18","2016","rivadavia","budget","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct.","There is no information regarding public about budget but the the government site there are infromaction about participative budget (2011-2015) where the people votes differntes infrastructure for their neighborhoods.
The site: http://munirivadavia.gob.ar/gabierto/data_pp.html
http://munirivadavia.gob.ar/gabierto/","Yes","No","Yamila García","Paula Alzualde","0"
"048ffa47-6d2a-4565-97a3-6ee01142e1c2","ar-city","2016-02-29T10:21:21","2016","rivadavia","timetables","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct.","Rivadavia is one of the 135 cities in the province of Buenos Aires and has 170,200 inhabitants according to the 2010 census Rivadavia's government has a website for Open Government. However, the site open gov contains few datasets of relevance to citizens, the category ""economic activity"" contains datasets in CSV format and is the best category with information. The site Rivadavia city contains a few information relevant to citizenship as the budget and budget execution. For the survey of the ODI cities, we evaluated in the analysis and research that the information provided from the site has yet to open government information to achieve informed citizen.

Rivadavia es una de las 135 ciudades de la provincia de Buenos AIres y tiene 170.200 habitantes según el censo 2010. El gobierno de Rivadavia tiene uun website de Gobierno Abierto. Sin embargo, el sitio contiene pocos datasets de relevancancia para la ciudadanía, la categoria ""actividad economica"" contiene datasets en formato CSV y es la que más información tiene. El sitio de la ciudad de Rivadavia contiene poca información de importancia para la ciudadania como el presupuesto y el presupuesto ejecutado. (Si tiene información del presupuesto participativo). Para el relevamiento del ODI ciudades, concideramos que el sitio de gobierno abierto aún tiene que tenes más información pública para un ciudadano informado.","Yes","No","Yamila García","Paula Alzualde","0"
"8f1a3378-04d2-4664-9c2b-6f2755e616a5","ar-city","2016-03-04T05:50:49","2016","rivadavia","contracts","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Unsure","http://munirivadavia.gob.ar/gabierto/data_economica.html","CSV",,,"Rivadavia Gobierno Abierto - Área economica","Rivadavia Gobierno Abierto","Yes","Yes","Submission is correct.","The information ""Ordenes de compra"" is in the category ""concurso de precios"" for 2015/2014. The detail of information is separated by type of purchase, supplier, quantity and value of the purchase. Also, the site contain datasets about ranking of providersUpDate: 01/01/2015 to 30/09/2015","Yes","No","Yamila García","Paula Alzualde","60"
"5fefd4b2-b125-439b-98ce-e05b1443dc2f","ar-city","2016-03-04T05:48:53","2016","rivadavia","maps","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct.","There is a map contain information about neighborhoods, hospitals, schools, public spaces, waste centers, etc. ","Yes","No","Yamila García","Paula Alzualde","0"
"44255a44-8e1c-455b-8752-459dc5e93f9b","ar-city","2016-03-04T05:48:19","2016","rivadavia","education","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct","Rivadavia's government does not provide citizens of information about private and public education establishments","Yes","No","Yamila García","Paula Alzualde","0"
"af4fc965-2912-487f-94bb-0f8e405d3247","ar-city","2016-03-04T05:47:49","2016","rivadavia","health","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct.","Rivadavia open government  site not contains information about the areas of health and specialties. The site doesn´t have relevant information for citizenship as the list of hospitals and location.","Yes","No","Yamila García","Paula Alzualde","0"
"68b2ef47-feba-422f-a4cf-bd332bbf36cd","ar-city","2016-03-04T05:29:18","2016","rivadavia","spending","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","http://munirivadavia.gob.ar/gabierto/data_economica.html","CSV",,,"Ejecución de gastos","Rivadavia Gobierno Abierto","Yes","Yes","Submission is correct.","Information on the budget is executed in csv and pdf, from 2013 to 2015. The dataset contains information differents areas of government and spending

Rivadavia es una de las 135 ciudades de la provincia de Buenos AIres y tiene 170.200 habitantes según el censo 2010. El gobierno de Rivadavia tiene uun website de Gobierno Abierto. Sin embargo, el sitio contiene pocos datasets de relevancancia para la ciudadanía, la categoria ""actividad economica"" contiene datasets en formato CSV y es la que más información tiene. El sitio de la ciudad de Rivadavia contiene poca información de importancia para la ciudadania como el presupuesto y el presupuesto ejecutado. (Si tiene información del presupuesto participativo). Para el relevamiento del ODI ciudades, concideramos que el sitio de gobierno abierto aún tiene que tenes más información pública para un ciudadano informado.
","Yes","No","Yamila García","Paula Alzualde","70"
"bed77bd2-db1e-4765-bf91-7f8c5451b963","ar-city","2016-03-04T05:22:23","2016","rivadavia","salaries","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Unsure","http://munirivadavia.gob.ar/gabierto/data_recibos.html","csv, pdf ",,,"Recibos de funcionarios  con el detalle de los salarios","Rivadavia Gobierno Abierto","Yes","Yes","Submission is correct.","The datasets contain information about the salaries of the mayor administration, secretaries, directors, and and maintenance employees, senior staff, managers and management areas. The datasets on 2015 is in PDF ans XLS and 2014-2013 informacition is in csv, pdf and xls.","Yes","No","Yamila García","Paula Alzualde","60"
"47ab621f-f024-446d-8ea9-b80b633aa210","ar-city","2016-02-09T22:13:07","2016","bahia-blanca","timetables","Yes","Yes","Yes","Yes","Yes","No","No",,"No","http://www.bahiablanca.gov.ar/conduce/transporte1.php",,,,,"Government of Bahia Blanca","Yes","Yes","Submission is correct.","Data is provided on a map easy to read, but no spreadsheets are available for download.","Yes","No","Paula Alzualde","Paula Alzualde","35"
"0c382701-f2ed-4db4-8072-bc63c56eaca3","ar-city","2016-02-25T15:53:38","2016","buenos-aires","timetables","Yes","Yes","Yes","Yes","Yes","Yes","Unsure",,"Yes","http://data.buenosaires.gob.ar/dataset#groups_cats=.movilidad-transporte.","CSV","http://data.buenosaires.gob.ar/tyc",,"Iniciativa de datos abiertos y transparencia de la Ciudad de Buenos Aires. Muestra Datasets sobre diferentes servicios de movilidad y transporte de la Ciudad de Buenos Aires","Data Buenos Aires ","Yes","Yes","Submission is correct.","Buenos Aires Data site contains different datasets about public transport (train, bus ans subway), also the site contain some datasets with information about bike paths, real-time traffic courts, availability of public bicycles, among other information. The transportation category contains 26 datasets in CSV format. The transport category is updated regularly and meets the standards of open data.","Yes","Yes","Yamila García","Paula Alzualde","90"
"d26c6027-d18c-4840-8490-9b2a2586a040","ar-city","2016-02-25T16:10:43","2016","buenos-aires","spending","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","http://data.buenosaires.gob.ar/dataset/presupuesto-ejecutado/resource/ee73998f-c0db-47fc-ac41-30928a374ab5","CSV","http://data.buenosaires.gob.ar/tyc",,"The spending budget is in CSV format. La informatión is about budget 2015. The different categorys have information of ministries and department. ","Data Buenos Aires ","Yes","Yes","Submission is correct","The spending budget is in CSV format. La informatión is about budget 2015. The different categorys have information of ministries and department. ","Yes","Yes","Yamila García","Paula Alzualde","100"
"282c35b6-cedc-48b1-ad61-9d0956fe23b2","ar-city","2016-02-25T15:49:02","2016","buenos-aires","budget","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","http://data.buenosaires.gob.ar/dataset/presupuesto-sancionado/resource/1199c951-ac07-47ec-8866-c263b50bc6e3","CSV","http://data.buenosaires.gob.ar/tyc",,"Presupuesto Sancionado. Distribución de los créditos aprobados para 2015 al máximo nivel de desagregación.","Data Buenos Aires ","Yes","Yes","Submission is correct.","The City of Buenos Aires and Buenos Aires is the capital of Argentina. Is the city most important in Argentina and one of the 20  important cities in the world. The final results of the 2010 census estimate the city's population at 2,890,151 inhabitants. CABA has an open data portal that uses open source CKAN software for the oepn data catalog. Data Buenos Aires is the first open data site as Bahia Blanca site. The website contains different categories of datasets and formats. The categories are economic activity, public administration, culture, education, Intrastructure, environment, transport, health, security and urban planning. The large list of datasets are in CSV and the information is updated. Buenos Aires has Law No. 104 governing access to public information in the area of ​​the City of Buenos Aires, and the site publishes datasets with requests for access to information in 2013 and 2014. However, the site has an outstanding production of datasets but there are still data relevant to citizenship as datasets about  ""purchase orders"", for example, that are in other sites of the city government but close formats.","Yes","Yes","Yamila García","Paula Alzualde","100"
"4579e0c2-8ed9-423c-948d-4d6dc24b9408","ar-city","2016-03-27T23:58:09","2016","merdeces","environment","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct.","There is no information regarding green points or sustainable environment.","Yes","No","Paula Alzualde","Paula Alzualde","0"
"4ccd046e-c5a8-454f-b6ae-0731ef761228","ar-city","2016-03-22T02:02:48","2016","moron","environment","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct
","The site does not have the information about environmentand different topics as pollution, air quality, noise state, caring for parks, etc.","Yes","No","Agustina De Luca","Paula Alzualde","0"
"9b96ddac-4cc7-45b6-89fd-31470502f5dc","ar-city","2016-03-22T02:02:33","2016","neuquen-ciudad","environment","No","No","No","No","No","No","No",,"No",,,,,,,"Yes","Yes","Submission is correct","The site does not have the information about environmentand different topics as pollution, air quality, noise state, caring for parks, etc.","Yes","No","Agustina De Luca","Paula Alzualde","0"
